Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,88.089996,88.339996,85.550003,86.470001,77.201553,24413800
2022-02-24,84.620003,88.040001,83.730003,87.540001,78.156860,37212500
2022-02-25,86.519997,92.410004,85.099998,92.279999,82.388786,51028300
2022-03-02,98.970001,99.699997,97.059998,99.650002,88.968826,42191500
2022-03-03,100.199997,101.260002,99.500000,99.699997,89.013458,38621400
2022-03-04,98.680000,102.089996,98.120003,101.970001,91.040154,30533200
2022-03-07,104.440002,105.900002,103.870003,105.070000,93.807869,55305300
2022-03-08,106.989998,107.110001,99.720001,100.459999,89.692009,53060200
2022-03-09,95.790001,95.800003,92.559998,94.190002,87.327110,41051200
2022-03-10,94.500000,97.300003,94.080002,97.300003,90.210510,33107000
2022-03-11,97.430000,98.410004,96.760002,96.790001,89.737671,24321500
2022-03-14,94.980003,95.199997,91.250000,91.599998,84.925819,37172800
2022-03-15,88.989998,89.580002,87.279999,88.970001,82.487457,47128500
2022-03-16,91.889999,93.879997,89.309998,91.129997,84.490074,37906100
2022-03-17,92.900002,94.980003,92.570000,94.300003,87.429092,40663500
2022-03-18,95.410004,96.089996,93.800003,96.089996,89.088669,46080900
2022-03-21,97.330002,99.430000,97.150002,98.809998,91.610481,25374600
2022-03-22,98.510002,98.959999,96.190002,96.599998,89.561516,29489800
2022-03-23,97.500000,98.940002,96.290001,96.449997,89.422440,26309600
2022-03-24,96.199997,97.599998,95.309998,96.910004,89.848930,23122800
2022-03-25,97.699997,98.300003,94.300003,95.230003,88.291344,22505500
2022-03-28,95.699997,96.339996,93.610001,95.339996,88.393318,16274200
2022-03-29,95.339996,95.660004,93.400002,94.519997,87.633064,38228800
2022-03-30,96.320000,97.110001,95.269997,95.870003,88.884705,22007500
2022-03-31,96.419998,96.889999,95.360001,95.599998,88.634369,17981400
2022-04-01,96.779999,97.500000,96.070000,96.959999,89.895279,22457700
2022-04-04,96.769997,98.250000,96.550003,97.940002,90.803886,16914000
2022-04-05,97.360001,97.779999,94.820000,95.110001,88.180084,25764400
2022-04-06,95.330002,96.720001,95.330002,96.550003,89.515167,22615800
2022-04-07,95.500000,97.690002,95.139999,97.129997,90.052895,19946600
2022-04-08,96.639999,97.400002,94.620003,95.150002,88.217171,26887400
2022-04-11,93.809998,94.709999,92.919998,94.000000,87.150955,16515800
2022-04-12,95.099998,95.610001,93.239998,93.370003,86.566856,16822600
2022-04-13,93.489998,94.379997,92.809998,93.400002,86.594673,23674700
2022-04-14,93.309998,94.000000,91.360001,92.089996,85.380119,24980700
2022-04-18,91.610001,92.000000,90.010002,90.570000,83.970871,14812600
2022-04-19,89.690002,89.690002,86.839996,87.680000,81.291443,34550900
2022-04-20,86.610001,86.669998,84.400002,85.400002,79.177567,29635700
2022-04-22,83.250000,83.400002,80.080002,80.449997,74.588234,39058200
2022-04-25,77.940002,79.610001,77.540001,79.080002,73.318062,38943700
2022-04-26,79.080002,79.320000,77.849998,78.000000,72.316750,37069400
2022-04-27,80.459999,82.699997,80.150002,82.169998,76.182915,49408800
2022-04-28,85.019997,85.550003,80.830002,84.199997,78.065002,56032800
2022-04-29,86.180000,87.199997,83.290001,83.290001,77.221306,47492200
2022-05-02,83.160004,83.199997,80.639999,82.919998,76.878265,31473600
2022-05-03,82.949997,84.209999,82.190002,82.500000,76.488869,27364600
2022-05-04,81.930000,82.180000,79.849998,81.809998,75.849144,34032200
2022-05-05,81.550003,83.199997,79.080002,80.330002,74.476982,30906600
2022-05-06,79.199997,80.900002,78.250000,79.760002,73.948517,25204100
2022-05-09,77.529999,77.980003,76.080002,76.489998,70.916763,37050200
2022-05-10,76.269997,76.940002,74.870003,75.540001,70.035995,31905000
2022-05-11,77.370003,79.889999,77.120003,78.690002,72.956474,33933400
2022-05-12,77.050003,77.900002,75.870003,77.900002,72.224037,27737200
2022-05-13,78.419998,79.349998,77.800003,77.809998,72.140587,26086800
2022-05-16,78.680000,80.639999,78.519997,80.139999,74.300827,23828800
2022-05-17,81.849998,81.919998,78.860001,79.800003,73.985596,29305300
2022-05-18,78.709999,79.250000,77.419998,77.779999,72.112778,30631700
2022-05-19,77.779999,80.379997,77.470001,79.849998,74.031952,29984300
2022-05-20,82.010002,82.459999,80.580002,81.260002,75.339218,38372000
2022-05-23,82.300003,83.650002,82.269997,82.919998,76.878265,27632800
2022-05-24,81.820000,84.089996,81.000000,84.040001,77.916656,35176800
2022-05-25,84.000000,84.800003,83.410004,84.300003,78.157722,24607700
2022-05-26,84.160004,84.650002,83.099998,84.250000,78.111366,27450600
2022-05-27,84.900002,85.879997,84.699997,85.720001,79.474258,19834500
2022-05-30,86.279999,87.410004,86.010002,86.650002,80.336487,16147900
2022-05-31,87.220001,87.430000,85.010002,86.209999,79.928551,41369800
2022-06-01,86.190002,88.779999,86.000000,88.239998,81.810646,26258900
2022-06-02,90.000000,90.279999,89.000000,89.900002,83.349693,25142400
2022-06-03,89.500000,89.809998,88.360001,88.459999,82.014610,18431900
2022-06-06,89.639999,89.790001,88.550003,88.550003,82.098061,14932800
2022-06-07,88.239998,90.889999,88.110001,90.620003,84.017227,27004800
2022-06-08,89.779999,90.330002,86.849998,87.500000,81.124557,26959100
2022-06-09,87.000000,87.000000,84.449997,84.540001,78.380226,36291100
2022-06-10,83.370003,84.989998,82.379997,84.559998,78.398773,28689500
2022-06-13,82.099998,82.870003,80.099998,81.879997,75.914040,31050500
2022-06-14,82.330002,82.800003,80.889999,81.720001,75.765701,22634500
2022-06-15,82.099998,83.769997,81.540001,81.669998,75.719345,33610300
2022-06-17,79.349998,79.349998,76.110001,77.410004,71.769745,56914600
2022-06-20,75.599998,76.180000,74.250000,75.500000,69.998901,26725700
2022-06-21,76.800003,77.639999,75.760002,76.000000,70.462479,20981000
2022-06-22,74.000000,76.050003,73.379997,75.349998,69.859833,32228300
2022-06-23,76.440002,77.309998,72.430000,72.599998,67.310211,31943300
2022-06-24,72.779999,74.879997,72.599998,74.620003,69.183029,22394300
2022-06-27,76.500000,78.970001,76.059998,78.050003,72.363113,28825700
2022-06-28,80.000000,80.230003,78.779999,79.449997,73.661102,26052000
2022-06-29,79.610001,80.089996,78.040001,78.790001,73.049194,18636600
2022-06-30,76.989998,78.050003,76.169998,76.559998,70.981674,27471300
2022-07-01,75.519997,76.529999,73.800003,75.099998,69.628044,26721000
2022-07-04,74.000000,75.010002,73.580002,74.669998,69.229378,12474200
2022-07-05,74.339996,74.419998,72.570000,74.300003,68.886337,26472200
2022-07-06,74.650002,75.449997,73.540001,75.000000,69.535339,23138800
2022-07-07,77.260002,78.220001,76.879997,77.180000,71.556488,34251200
2022-07-08,76.830002,77.860001,75.300003,75.400002,69.906197,24149200
2022-07-11,74.150002,74.160004,72.559998,72.830002,67.523453,22076800
2022-07-12,72.000000,73.169998,71.059998,73.050003,67.727417,22460000
2022-07-13,72.949997,73.639999,72.309998,72.800003,67.495636,22980800
2022-07-14,70.500000,70.830002,67.559998,67.949997,62.999016,57715800
2022-07-15,67.500000,68.489998,66.650002,68.370003,63.388416,36589000
2022-07-18,70.389999,70.389999,68.699997,68.730003,63.722183,22131300
2022-07-19,68.209999,69.269997,67.989998,68.879997,63.861248,21785500
2022-07-20,68.459999,68.480003,66.180000,67.389999,62.479813,40427400
2022-07-21,67.309998,68.620003,66.639999,68.570000,63.573845,26987300
2022-07-22,69.800003,70.750000,68.970001,69.209999,64.167206,27884000
2022-07-25,70.660004,71.230003,70.040001,70.489998,65.353951,19833200
2022-07-26,71.320000,71.419998,69.580002,70.360001,65.233414,19791500
2022-07-27,69.970001,70.620003,69.309998,70.519997,65.381760,21666900
2022-07-28,71.459999,71.970001,70.309998,70.690002,65.539375,21778700
2022-07-29,69.669998,70.320000,68.029999,69.750000,64.667870,77006600
